_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
92639,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,14.0,389.0,"AUG 28, 2015",,,,,REPLACED,YES,NO,Unknown,YES,YES,,ORIGINAL,1972.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,3.0,4.0,2.0,12.0,YES,YES,Surface Parking,M2R,,YES,,TCHC,,4154723.0,NO,NO,NO,6250  BATHURST ST ,YES,YES,1972.0,YES,BOTH,6,DOUBLE PANE,1972.0,2008.0,2017.0,,,,,,,,
92640,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,61.0,"OCT 21, 2014",,,,,ORIGINAL,YES,NO,Recycling bins,YES,NO,,ORIGINAL,1965.0,HOT WATER,YES,YES,YES,YES,YES,8 AM TO 10 PM,LOWER FLOOR,YES,0.0,0.0,1.0,6.0,NO,YES,"Ground Level Garage , Surface Parking",M2P,,YES,WESTDALE PROPERTIES,PRIVATE,,4154738.0,NO,YES,NO,31  UPPER CANADA DR ,YES,YES,1965.0,YES,FREE,15,DOUBLE PANE,1965.0,,2017.0,,,,,,,,
92641,NONE,Indoor exercise room,YES,YES,YES,YES,NO,50 indoor parking spots and 0 outdoor parking spots,18.0,138.0,"JUL 15, 2017",,"2 ELIPTICALS, 3 BIKES",,ELEVATOR MODERNIZATION,REPLACED,,NO,Green Bin / Organics,YES,YES,OUTDOOR AREA,REPLACED,2004.0,HOT WATER,NO,NO,NO,NO,YES,24 HOURS,GROUND FLOOR,YES,0.0,1.0,2.0,14.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3B,,NO,M&R PROPERTY MANAGEMENT,PRIVATE,OUTDOOR AREA,4154742.0,NO,YES,NO,745  YORK MILLS RD ,YES,YES,1972.0,NO,FREE,15,DOUBLE PANE,1972.0,2002.0,2017.0,,,,,,,,
92642,NONE,,YES,YES,YES,YES,YES,Not Available,4.0,27.0,,,,,,,,NO,Green Bin / Organics,YES,NO,NORTH EAST CORNER,REPLACED,1995.0,HOT WATER,NO,YES,NO,NO,YES,8:00AM TO 9:00PM,BASEMENT SOUTH EAST,YES,4.0,20.0,0.0,4.0,NO,YES,"Ground Level Garage , Carport , Surface Parking",M8Y,NO DOGS,NO,,PRIVATE,NORTH EAST CORNER,4155233.0,NO,YES,NO,5  NEWHOLM RD ,NO,,,,UNAVAILABLE,3,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
92643,NONE,,YES,YES,YES,YES,NO,3 indoor parking spots and 5 outdoor parking spots,4.0,26.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,2000.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,2.0,0.0,6.0,NO,YES,"Ground Level Garage , Surface Parking",M8Y,"SMALL DOGES, CATS",YES,RONCI MANAGEMENT ,PRIVATE,OUTDOOR,4155237.0,NO,YES,NO,8  NEWHOLM RD ,NO,,,,FREE,3,DOUBLE PANE,1958.0,,2017.0,,,,,,,,
92644,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,32.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,2014.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,NO,0.0,0.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M8Y,,YES,NORTHVIEW APARTMENT REIT,PRIVATE,BACK OF BUILDING,4155239.0,NO,NO,NO,317  PARK LAWN RD ,YES,YES,1953.0,,FREE,3,DOUBLE PANE,1953.0,,2017.0,,,,,,,,
92645,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,23.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,2013.0,HOT WATER,NO,YES,NO,NO,YES,8:00AM-11:00PM,BASEMENT,YES,0.0,0.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M8Y,,YES,,PRIVATE,OUTSIDE,4155245.0,NO,YES,NO,177  BERRY RD ,NO,,,,UNAVAILABLE,3,DOUBLE PANE,1965.0,,2017.0,,,,,,,,
92646,NONE,,YES,YES,YES,YES,YES,Not Available,4.0,26.0,"JUN 22, 2016",,,,FULL REPLACEMENT,REPLACED,YES,NO,Recycling bins,YES,NO,,REPLACED,2010.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,BASEMENT,YES,0.0,1.0,1.0,6.0,NO,YES,"Ground Level Garage , Surface Parking",M8Y,,YES,H & R PROPERTY MANAGEMENT LTD,PRIVATE,IN GARBAGE ENCLOSURE,4155249.0,NO,YES,NO,135  STEPHEN DR ,YES,YES,1959.0,YES,FREE,3,DOUBLE PANE,1959.0,2007.0,2017.0,,,,,,,,
92647,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,24.0,,,,,,,,NO,Green Bin / Organics,YES,NO,AGAINST WALL AT BACK DOOR,REPLACED,2015.0,HOT WATER,NO,YES,NO,NO,YES,9AM TO 9:30 PM,BASEMENT,YES,0.0,0.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M8Y,,YES,EQUITY RESIDENTIAL INC,PRIVATE,AGAINST WALL AT BACK DOOR,4155251.0,NO,YES,NO,159  STEPHEN DR ,YES,YES,1980.0,,UNAVAILABLE,3,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
92648,NONE,,YES,NO,YES,YES,NO,Not Available,4.0,24.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,2012.0,HOT WATER,NO,YES,NO,NO,YES,9:00 A.M. - 9:00 P.M.,GROUND FLOOR,YES,0.0,11.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M8Y,,NO,DRAGAN ENTERPRISES LTD.,PRIVATE,SCREENED AREA,4155254.0,NO,YES,NO,2  BASKING RIDGE  ,YES,YES,1960.0,,UNAVAILABLE,3,DOUBLE PANE,1956.0,,2017.0,,,,,,,,
92649,NONE,,YES,YES,YES,YES,NO,Not Available,5.0,32.0,"JUL 30, 2018",,,,UNKNOWN,REPLACED,,NO,Green Bin / Organics,YES,NO,BACK OF BUILDING,REPLACED,2014.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,NO,0.0,0.0,1.0,5.0,NO,YES,"Ground Level Garage , Surface Parking",M8Y,,YES,,PRIVATE,BACK OF BUILDING,4155260.0,NO,YES,NO,4  CROWN HILL PL ,NO,,,NO,FREE,3,DOUBLE PANE,1956.0,2017.0,2017.0,,,,,,,,
92650,NONE,,YES,NO,YES,YES,NO,Not Available,4.0,37.0,,,,,,,,NO,Green Bin / Organics,YES,NO,,REPLACED,2002.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS,BASEMENT LEVEL,YES,0.0,30.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M8Y,NOISY PETS ARE NOT ALLOWED,YES,WESTSIDE STOREYS LIMITED,PRIVATE,,4155261.0,NO,YES,NO,5  CROWN HILL PL ,NO,,,,UNAVAILABLE,3,DOUBLE PANE,1954.0,,2017.0,,,,,,,,
92651,NONE,Indoor recreation room,NO,NO,YES,NO,NO,Not Available,3.0,47.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,REAR OF BUILDINGS,REPLACED,2013.0,FORCED AIR GAS,NO,YES,NO,YES,YES,9AM - 10AM,BASEMENT,YES,0.0,0.0,0.0,8.0,NO,YES,"Ground Level Garage , Surface Parking",M1L,,YES,BENTALL KENNEDY (CANADA) LP.,PRIVATE,REAR OF BUILDING,4155802.0,NO,YES,NO,14  ENGELHART CRES ,NO,,,,UNAVAILABLE,20,DOUBLE PANE,1956.0,,2017.0,,,,,,,,
92652,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,11.0,,,,,,,YES,NO,Recycling bins,YES,NO,,REPLACED,2009.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,BASEMENT,YES,0.0,0.0,0.0,2.0,NO,NO,Surface Parking,M1N,NO PIT BULLS,YES,,PRIVATE,ADJACENT TO BUILDING,4155806.0,NO,NO,NO,1625-1641  KINGSTON RD ,NO,,,,UNAVAILABLE,20,DOUBLE PANE,1950.0,,2017.0,,,,,,,,
92653,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,16.0,,,,,,,,NO,Green Bin / Organics,YES,NO,,ORIGINAL,1956.0,HOT WATER,NO,YES,NO,NO,YES,9AM TO 9PM,1ST FLOOR,NO,0.0,0.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M1L,,NO,KROMA MANAGEMENT LIMITED,PRIVATE,,4155843.0,NO,YES,NO,3214  ST CLAIR AVE E,YES,YES,1956.0,,FREE,20,SINGLE PANE,1952.0,,2017.0,,,,,,,,
92654,NONE,,YES,YES,YES,YES,YES,20 indoor parking spots and 15 outdoor parking spots,26.0,201.0,"MAR 16, 2016",,,,FULL MODERNIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,YES,INSIDE,REPLACED,2005.0,HOT WATER,YES,YES,YES,YES,YES,6AM-10PM,BASEMENT,YES,0.0,3.0,3.0,22.0,NO,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6P,,YES,VERTICA RESIDENT SERVICES,PRIVATE,INSIDE,4155848.0,NO,YES,NO,35  HIGH PARK AVE ,YES,YES,1969.0,YES,PAID,4,DOUBLE PANE,1969.0,2013.0,2017.0,,,,,,,,
92655,NONE,,YES,YES,YES,NO,NO,Not Available,4.0,36.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,WEST EXTERIOR,ORIGINAL,1955.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,B1,YES,0.0,1.0,0.0,4.0,NO,YES,Surface Parking,M1L,,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,OUTDOOR,4152625.0,NO,NO,NO,23  CRAIGTON DR ,YES,YES,1955.0,,FREE,21,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
92656,NONE,,YES,NO,YES,YES,NO,0 indoor parking spots and 10 outdoor parking spots,4.0,54.0,,,,,,,,NO,Green Bin / Organics,YES,NO,,REPLACED,2017.0,HOT WATER,NO,YES,NO,NO,YES,24/7,LOWER LEVEL,YES,0.0,54.0,0.0,6.0,NO,YES,"Ground Level Garage , Surface Parking",M1R,,YES,TRAYMORE APARTMENTS LIMITED,PRIVATE,,4152637.0,NO,YES,NO,1601  VICTORIA PARK AVE ,NO,NO,,,FREE,21,DOUBLE PANE,1954.0,,2019.0,,,,,,,,
92657,NONE,,YES,NO,YES,YES,NO,Not Available,4.0,35.0,,,,,,,,NO,Green Bin / Organics,YES,NO,REAR OF THE BUILDING,ORIGINAL,1990.0,HOT WATER,NO,YES,NO,NO,YES,8:00 AM-10:00 PM,BASEMENT ,NO,0.0,0.0,0.0,8.0,YES,YES,Surface Parking,M1R,,YES,EICHLER PROPERTIES LTD.,PRIVATE,REAR  OF THE BUILDING,4152647.0,NO,NO,NO,1751  VICTORIA PARK AVE ,NO,,,,FREE,21,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
92658,NONE,,YES,YES,YES,YES,NO,0 indoor parking spots and 5 outdoor parking spots,7.0,67.0,"MAY 13, 2015",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,NO,GROUND FLOOR,REPLACED,1988.0,HOT WATER,YES,YES,NO,YES,YES,,1ST FLOOR,NO,0.0,71.0,1.0,10.0,YES,YES,"Ground Level Garage , Surface Parking",M1R,,NO,MIDLAND PLACE INC,PRIVATE,GROUND FLOOR,4152650.0,NO,NO,NO,1765  VICTORIA PARK AVE ,NO,,,YES,FREE,21,SINGLE PANE,1961.0,2007.0,2017.0,,,,,,,,
92659,NONE,,YES,YES,YES,YES,NO,Not Available,6.0,43.0,"JUN 21, 2017",,,,,REPLACED,,NO,Recycling bins,YES,NO,,REPLACED,2005.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS,FIRST FLOOR,NO,0.0,0.0,1.0,6.0,YES,YES,Surface Parking,M1R,,YES,MONTEREY PARK INC.,PRIVATE,SCREENED ENCLOSURE,4152651.0,NO,YES,NO,1725  LAWRENCE AVE E,NO,,,YES,PAID,21,DOUBLE PANE,1960.0,2017.0,2017.0,,,,,,,,
92660,NONE,,YES,NO,NO,NO,NO,Not Available,3.0,10.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,SIDE OF BUILDING,REPLACED,1999.0,HOT WATER,NO,YES,NO,YES,YES,24,BASEMENT,YES,0.0,5.0,0.0,2.0,YES,YES,"Ground Level Garage , Surface Parking",M9M,,YES,,PRIVATE,SIDE OF BUILDING,4154257.0,NO,YES,NO,3  DAMASK AVE ,NO,,,,UNAVAILABLE,7,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
92661,NONE,Indoor exercise room,YES,YES,YES,YES,YES,Not Available,11.0,138.0,"JAN 1, 2016",,EXERCISE EQUIPMENT,,MODERIZATION,REPLACED,,NO,Recycling bins,YES,YES,,REPLACED,2017.0,HOT WATER,NO,YES,NO,NO,YES,8AM TO 10PM,BASEMENT,NO,3.0,4.0,2.0,22.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3N,,YES,,PRIVATE,BACK OF PROPERTY,4154261.0,NO,YES,NO,35  TOBERMORY DR ,YES,YES,1969.0,YES,FREE,7,SINGLE PANE,1969.0,2015.0,2017.0,,,,,,,,
92662,NONE,,YES,YES,YES,YES,NO,Not Available,9.0,151.0,"SEP 18, 2015",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,NW SIDE OF BUILDING NEAR RAMP,REPLACED,1960.0,HOT WATER,NO,YES,NO,YES,YES,24/7,FLOORS 2 THROUGH 8,NO,0.0,0.0,2.0,14.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3C,AS PER LEASE AGREEMENT,YES,,PRIVATE,NW SIDE OF BUILDING NEAR RAMP,4154761.0,NO,YES,NO,1  DEAUVILLE LANE ,YES,YES,1960.0,YES,FREE,16,DOUBLE PANE,1960.0,2015.0,2017.0,,,,,,,,
92663,NONE,,YES,YES,YES,YES,YES,Not Available,4.0,43.0,"JUN 21, 2017",,,,ENTIRE ELEVATOR,REPLACED,,YES,Green Bin / Organics,NO,NO,OUTSIDE,REPLACED,2008.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,SECOND FLOOR,NO,2.0,19.0,1.0,5.0,YES,YES,"Ground Level Garage , Surface Parking",M3C,,YES,,PRIVATE,OUTSIDE,4154780.0,NO,YES,NO,1063  DON MILLS RD ,NO,,,YES,FREE,16,DOUBLE PANE,1960.0,2008.0,2017.0,,,,,,,,
92664,NONE,,YES,YES,YES,YES,NO,Not Available,3.0,11.0,,,,,,,,NO,Recycling bins,YES,NO,,ORIGINAL,1960.0,ELECTRIC,NO,YES,NO,NO,YES,8 TIL 9,BASEMENT,YES,0.0,0.0,0.0,4.0,NO,YES,Surface Parking,M6A,,YES,CASTLEHILL PROPERTY MANAGEMENT,PRIVATE,FRONT OF BUILDING,4155878.0,NO,NO,NO,60  WASDALE CRES ,YES,YES,1960.0,,UNAVAILABLE,8,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
92665,CENTRAL AIR,"Indoor pool , Sauna",YES,YES,YES,YES,YES,20 indoor parking spots and 0 outdoor parking spots,17.0,233.0,"DEC 4, 2015",,,,ELEVATOR MODERNIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,REPLACED,2006.0,HOT WATER,YES,YES,YES,YES,YES,24 HOURS,BASEMENT,NO,0.0,2.0,3.0,24.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9R,,NO,PARK PROPERTY MANAGEMENT INC.,PRIVATE,RECYCLING ROOM ON FIRST FLOOR,4155880.0,NO,YES,NO,63  WIDDICOMBE HILL BLVD ,YES,YES,1974.0,YES,FREE,2,DOUBLE PANE,1974.0,2011.0,2017.0,,,,,,,,
92666,NONE,,YES,YES,YES,YES,YES,0 indoor parking spots and 20 outdoor parking spots,17.0,235.0,"JUN 15, 2017",,,,FULL MODERNIZATION,REPLACED,,YES,Green Bin / Organics,YES,YES,,ORIGINAL,2005.0,HOT WATER,YES,YES,NO,NO,YES,24 HRS,BASEMENT,YES,235.0,0.0,3.0,12.0,YES,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4V,,YES,,PRIVATE,BASEMENT,4153932.0,NO,YES,NO,25  LASCELLES BLVD ,YES,YES,1960.0,YES,FREE,12,DOUBLE PANE,1957.0,2015.0,2017.0,,,,,,,,
92667,NONE,,YES,YES,YES,YES,NO,20 indoor parking spots and 0 outdoor parking spots,3.0,29.0,,,,,,,,NO,Green Bin / Organics,YES,NO,BACK OF BLDG,REPLACED,2009.0,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT ,YES,0.0,0.0,0.0,4.0,NO,YES,"Underground Garage , Garage accessible thru buildg",M5P,,YES,HOLLYBURN PROPERTIES LTD,PRIVATE,BACK OF BLDG,4153933.0,NO,YES,NO,111  ORIOLE PKWY ,YES,YES,1959.0,,UNAVAILABLE,12,DOUBLE PANE,1959.0,,2017.0,,,,,,,,
92668,NONE,,YES,NO,YES,YES,YES,Not Available,3.0,11.0,"MAR 23, 2016",,,,NEW HYDRAULIC PISTON ,REPLACED,,NO,Green Bin / Organics,YES,NO,IN THE CARPORT AREA,ORIGINAL,1965.0,ELECTRIC,NO,YES,NO,NO,YES,24/7,BASEMENT ,YES,0.0,0.0,1.0,4.0,NO,YES,"Carport , Surface Parking , Parking Deck",M5N,,YES,PARALLEL PROPERTY MANAGEMENT,PRIVATE,IN THE CARPORT AREA,4153950.0,NO,NO,NO,570  EGLINTON AVE W,YES,NO,1965.0,YES,FREE,8,SINGLE PANE,1960.0,2016.0,2017.0,,,,,,,,
92669,CENTRAL AIR,,YES,YES,YES,YES,NO,30 indoor parking spots and 10 outdoor parking spots,15.0,256.0,"MAR 23, 2016",,,,EVERYTHING,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,REPLACED,2013.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,GROUND FLOOR,NO,0.0,0.0,3.0,26.0,NO,YES,"Underground Garage , Garage accessible thru buildg",M5T,,YES,FIDELITY PROPERTY MANAGEMENT,PRIVATE,INSIDE,4153399.0,NO,NO,NO,20  ST PATRICK ST ,YES,YES,1982.0,YES,UNAVAILABLE,10,DOUBLE PANE,1982.0,2016.0,2017.0,,,,,,,,
92670,NONE,,YES,YES,YES,NO,YES,Not Available,6.0,86.0,"JAN 1, 2018",,,,,REPLACED,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1970.0,HOT WATER,YES,YES,YES,YES,YES,24/7,FLOOR 3 - 8,NO,0.0,0.0,2.0,15.0,NO,YES,,M5T,,YES,DEEP QUONGG COMMUNITY FUND INC,TCHC,YES,4153414.0,NO,NO,NO,2  MURRAY ST ,YES,YES,2005.0,NO,UNAVAILABLE,11,SINGLE PANE,1961.0,2008.0,2018.0,,,,,,,,
92671,INDIVIDUAL UNITS,,YES,YES,YES,NO,NO,Not Available,3.0,60.0,,,,,,,YES,YES,Green Bin / Organics,YES,NO,GARAGE,REPLACED,2007.0,HOT WATER,YES,NO,NO,YES,YES,7 AM UNTIL 11 PM,BASEMENT,YES,0.0,0.0,0.0,4.0,YES,NO,Ground Level Garage,M5B,,NO,,SOCIAL HOUSING,GARAGE,4153425.0,NO,NO,NO,244  CHURCH ST ,YES,YES,2007.0,,UNAVAILABLE,13,SINGLE PANE,1900.0,,2017.0,,,,,,,,
92672,NONE,,YES,NO,YES,NO,NO,Not Available,4.0,12.0,"APR 30, 2017",,,,,REPLACED,YES,NO,Recycling bins,YES,NO,,REPLACED,2005.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,GROUND FLOOR,NO,0.0,1.0,1.0,4.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M6C,,YES,,PRIVATE,OUTSIDE DRIVEWAY,4153965.0,NO,YES,NO,3  RIDGE HILL DR ,NO,,,YES,FREE,8,DOUBLE PANE,1951.0,2017.0,2017.0,,,,,,,,
92673,CENTRAL AIR,,YES,YES,YES,YES,YES,10 indoor parking spots and 0 outdoor parking spots,8.0,76.0,"NOV 17, 2016",,,,,REPLACED,,YES,Green Bin / Organics,YES,YES,UNDERGROUNG PARKING GARAGE,REPLACED,2010.0,HOT WATER,YES,YES,NO,NO,YES,24HRS,BASEMENT,YES,76.0,0.0,2.0,8.0,YES,NO,"Underground Garage , Garage accessible thru buildg",M6B,,YES,O'SHANTER DEVELOPMENT COMPANY,PRIVATE,UNDERGROUNG PARKING GARAGE,4153970.0,NO,YES,NO,660  BRIAR HILL AVE ,YES,YES,1975.0,YES,UNAVAILABLE,8,DOUBLE PANE,1974.0,2010.0,2017.0,,,,,,,,
92674,NONE,,YES,YES,YES,YES,NO,Not Available,8.0,111.0,"OCT 3, 2013",,,,COMPLETE RETROFIT,REPLACED,,NO,Green Bin / Organics,YES,YES,GARAGE,REPLACED,2005.0,HOT WATER,YES,YES,NO,NO,YES,8:00 TO 10:00,BASEMENT,YES,0.0,94.0,2.0,10.0,NO,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg",M5N,,YES,ELDEBRON HOLDINGS LIMITED,PRIVATE,GARAGE,4153982.0,NO,YES,NO,515  CHAPLIN CRES ,YES,YES,1961.0,YES,FREE,8,DOUBLE PANE,1961.0,2013.0,2017.0,,,,,,,,
92675,NONE,,YES,,NO,YES,NO,Not Available,6.0,62.0,"JAN 1, 2017",,,,ALL COMPONENTS EXCEPT FOR CAR,REPLACED,,NO,Recycling bins,YES,NO,,REPLACED,2017.0,,NO,YES,NO,NO,YES,7 A.M. - 9 P.M. DAILY,1ST FLOOR,YES,,0.0,1.0,6.0,,YES,"Ground Level Garage , Garage accessible thru buildg",M6B,,NO,REM FACILITIES MANAGEMENT INC,PRIVATE,EAST SIDE GARAGE ENTRANCE,4153983.0,NO,YES,NO,2601  BATHURST ST ,YES,YES,1953.0,YES,UNAVAILABLE,8,SINGLE PANE,1953.0,2017.0,2018.0,,,,,,,,
92676,NONE,,YES,YES,YES,NO,NO,Not Available,4.0,10.0,,,,,,,,YES,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,2016.0,HOT WATER,NO,YES,NO,NO,NO,,,NO,0.0,4.0,0.0,,NO,YES,"Carport , Surface Parking",M5A,,YES,,PRIVATE,OUTSIDE,4153441.0,NO,YES,NO,260  SHERBOURNE ST ,YES,YES,2016.0,,UNAVAILABLE,13,DOUBLE PANE,1809.0,,2017.0,,,,,,,,
92677,NONE,,YES,NO,YES,NO,NO,0 indoor parking spots and 8 outdoor parking spots,3.0,16.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTDOOR WEST SIDE,REPLACED,2010.0,HOT WATER,NO,YES,NO,NO,YES,8 AM TO 9 PM,BASEMENT,NO,0.0,10.0,0.0,4.0,NO,YES,Ground Level Garage,M5A,,YES,,PRIVATE,OUTSIDE WEST SIDE,4153453.0,NO,NO,NO,368  GEORGE ST ,NO,,,,UNAVAILABLE,13,DOUBLE PANE,1939.0,,2017.0,,,,,,,,
92678,NONE,,YES,YES,YES,NO,NO,12 indoor parking spots and 0 outdoor parking spots,3.0,18.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,SIDE OF BUILDING,REPLACED,2005.0,HOT WATER,NO,YES,NO,YES,YES,6 AM-11 PM DAILY,BASEMENT,NO,0.0,0.0,0.0,4.0,YES,YES,,M4R,,YES,GLENDALE PROPERTIES INC.,PRIVATE,SIDE OF BUILDING,4153993.0,NO,YES,NO,137  EGLINTON AVE W,NO,,,,UNAVAILABLE,12,DOUBLE PANE,1920.0,,2017.0,,,,,,,,
92679,INDIVIDUAL UNITS,"Indoor recreation room , Indoor exercise room",YES,YES,YES,YES,YES,12 indoor parking spots and 10 outdoor parking spots,10.0,128.0,"AUG 15, 2017",,GYM,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,REPLACED,2012.0,HOT WATER,NO,YES,YES,YES,YES,24HRS,BASEMENT LEVEL,YES,0.0,1.0,2.0,14.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M4X,LEASHED,YES,,PRIVATE,OUTSIDE,4153472.0,NO,YES,NO,392  SHERBOURNE ST ,YES,YES,2013.0,YES,FREE,13,DOUBLE PANE,1963.0,2012.0,2017.0,,,,,,,,
92680,CENTRAL AIR,,YES,YES,YES,YES,NO,Not Available,9.0,47.0,"DEC 9, 2014",,,,,ORIGINAL,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1979.0,FORCED AIR GAS,NO,YES,YES,YES,NO,,,YES,0.0,0.0,2.0,,NO,YES,"Underground Garage , Garage accessible thru buildg",M4Y,,YES,BEAUX PROPERTIES MANAGEMENT,PRIVATE,AT REAR OF BUILDING,4153488.0,NO,YES,NO,25  WELLESLEY ST E,YES,YES,1979.0,YES,UNAVAILABLE,13,DOUBLE PANE,1979.0,,2017.0,,,,,,,,
